review,label,split
"In my opinion, the ending felt poorly written to me. The director's work turned out to be disappointing. I found the script mediocre. The lead actor felt poorly written to me. I wouldn't recommend it to anyone.",0,train
"In my opinion, i found the screenplay fantastic. The lead actor felt captivating to me. The pacing turned out to be amazing. The emotional depth was incredible.",1,train
"In my opinion, the story was impressive. The plot was excellent. This film turned out to be beautiful. The screenplay turned out to be touching. A true masterpiece of storytelling.",1,train
The acting was gripping. I found this film impressive. The emotional depth was incredible.,1,train
"To be fair, this picture turned out to be lifeless. The movie turned out to be painful to watch. I found the whole experience dull. This sequel turned out to be mediocre. I nearly fell asleep halfway through.",0,test
"Overall, this sequel was remarkable. This film turned out to be delightful. Highly recommended for everyone.",1,test
"To be fair, the cinematography was heartwarming. The director's work felt delightful to me. A true masterpiece of storytelling.",1,train
"To be fair, the ending turned out to be disappointing. The acting felt awful to me. The director's work felt unconvincing to me. A complete waste of time and money.",0,train
The screenplay was awful. I found the movie painful to watch. This documentary was dreadful. Nothing about it felt original.,0,train
"Honestly, this drama felt dreadful to me. I found the ending painful to watch. The movie turned out to be terrible. The plot made absolutely no sense.",0,train
"Honestly, the soundtrack felt fantastic to me. The dialogue felt wonderful to me. It kept me hooked from start to finish.",1,train
"Overall, i found the soundtrack gripping. I found the screenplay captivating. The cinematography felt gripping to me. The plot turned out to be heartwarming. Everyone in the theatre applauded.",1,train
"In my opinion, this picture turned out to be incredible. The movie felt impressive to me. The soundtrack turned out to be inspiring. I would watch it again.",1,train
I found the movie badly acted. The plot was awful. The director's work felt poorly written to me. The ending was flat. I couldn't wait for it to end.,0,train
"In my opinion, the soundtrack felt beautiful to me. This film was incredible. This sequel felt masterful to me. The ending was gripping. It kept me hooked from start to finish.",1,test
The acting turned out to be wonderful. The pacing felt compelling to me. The performance was touching. The cinematography felt delightful to me. Worth every minute of my time.,1,train
"Honestly, i found the plot inspiring. The director's work was brilliant. The screenplay was masterful. The emotional depth was incredible.",1,train
"In my opinion, i found the script touching. The acting turned out to be compelling. I found the ending incredible. Worth every minute of my time.",1,test
"In my opinion, this film felt boring to me. The ending was predictable. I expected so much more from this cast.",0,train
"Overall, this drama was touching. The ending was masterful. The soundtrack was fantastic. It kept me hooked from start to finish.",1,train
"Honestly, i found the acting lifeless. This sequel turned out to be disappointing. Save your money and skip this one.",0,train
"Honestly, the lead actor felt shallow to me. The plot felt lifeless to me. This documentary turned out to be underwhelming. A complete waste of time and money.",0,train
"Overall, this film felt poorly written to me. The story turned out to be boring. This picture felt poorly written to me. I wouldn't recommend it to anyone.",0,train
"Overall, the acting felt masterful to me. The pacing was touching. I found this picture delightful. The soundtrack turned out to be inspiring. A must-watch for any fan of the genre.",1,train
"In my opinion, this documentary was mediocre. The whole experience turned out to be unconvincing. I wouldn't recommend it to anyone.",0,train
"Honestly, the performance turned out to be tedious. This film was terrible. The plot felt forgettable to me. The plot made absolutely no sense.",0,train
The plot was lifeless. I found the screenplay flat. I found the whole experience lifeless. I nearly fell asleep halfway through.,0,test
This drama felt boring to me. The movie was painful to watch. I found the whole experience terrible. The performance was flat. Nothing about it felt original.,0,train
This picture turned out to be lifeless. The plot turned out to be poorly written. The script was lifeless. I found the director's work confusing. A complete waste of time and money.,0,train
"In my opinion, the whole experience felt amazing to me. I found the plot beautiful. The director's work turned out to be touching. The movie turned out to be superb. It kept me hooked from start to finish.",1,train
"To be fair, this drama was underwhelming. The story turned out to be disappointing. The script felt lifeless to me. I couldn't wait for it to end.",0,train
I found this film superb. The screenplay turned out to be remarkable. The acting felt outstanding to me. The dialogue turned out to be outstanding. It kept me hooked from start to finish.,1,test
"Honestly, this drama was awful. This documentary was unconvincing. It dragged on far too long.",0,train
"Honestly, the director's work turned out to be dreadful. I found the ending disappointing. I found this film disappointing. I wouldn't recommend it to anyone.",0,train
I found this sequel fantastic. The script was phenomenal. The emotional depth was incredible.,1,test
"Overall, i found the whole experience touching. I found the dialogue remarkable. I found the screenplay amazing. The plot turned out to be touching. Highly recommended for everyone.",1,train
I found the director's work amazing. The story was wonderful. I found the dialogue brilliant. The emotional depth was incredible.,1,train
"Overall, the lead actor was wonderful. The script turned out to be excellent. I found the whole experience phenomenal. A true masterpiece of storytelling.",1,train
"Overall, the soundtrack felt terrible to me. I found this drama poorly written. The movie turned out to be unconvincing. This film felt disappointing to me. Save your money and skip this one.",0,train
This picture was badly acted. I found the soundtrack dull. It dragged on far too long.,0,train
"Overall, i found the director's work tedious. This sequel turned out to be lifeless. I wouldn't recommend it to anyone.",0,train
"To be fair, the whole experience turned out to be unconvincing. The script turned out to be dull. The plot was mediocre. The dialogue was confusing. Nothing about it felt original.",0,train
The performance felt terrible to me. The story turned out to be predictable. The cinematography felt terrible to me. Save your money and skip this one.,0,test
"Overall, the screenplay was gripping. The plot was outstanding. The lead actor felt amazing to me. A true masterpiece of storytelling.",1,train
"Honestly, this picture turned out to be touching. I found the acting amazing. The plot felt inspiring to me. I found this documentary beautiful. I would watch it again.",1,train
"In my opinion, this drama felt flat to me. The script was shallow. The story turned out to be badly acted. The director's work was underwhelming. I nearly fell asleep halfway through.",0,train
"Honestly, i found the soundtrack wonderful. The pacing turned out to be amazing. This drama turned out to be delightful. This documentary turned out to be delightful. It kept me hooked from start to finish.",1,train
"In my opinion, i found the director's work gripping. This picture turned out to be excellent. I found this film excellent. Everyone in the theatre applauded.",1,train
"Overall, the screenplay was captivating. I found the ending wonderful. I found this sequel incredible. The emotional depth was incredible.",1,train
"Overall, this documentary was remarkable. The dialogue felt inspiring to me. The story was compelling. One of the best I've seen this year.",1,train
"To be fair, i found the director's work inspiring. The story felt compelling to me. The dialogue was superb. The performance felt heartwarming to me. I was moved to tears.",1,train
"In my opinion, the script felt mediocre to me. The dialogue felt badly acted to me. This sequel was poorly written. Save your money and skip this one.",0,train
"In my opinion, i found the pacing disappointing. The performance felt lifeless to me. A complete waste of time and money.",0,test
"In my opinion, the lead actor felt incredible to me. The performance was captivating. Everyone in the theatre applauded.",1,train
"Overall, the story felt lifeless to me. The ending felt confusing to me. The soundtrack turned out to be painful to watch. I couldn't wait for it to end.",0,train
This drama turned out to be boring. This film felt poorly written to me. The pacing turned out to be boring. I found the soundtrack badly acted. I expected so much more from this cast.,0,test
The dialogue turned out to be dull. I found the ending unconvincing. This drama felt awful to me. This film felt poorly written to me. I expected so much more from this cast.,0,train
"Honestly, the acting was dreadful. The script was dull. I found this sequel dull. I expected so much more from this cast.",0,test
"To be fair, the dialogue turned out to be incredible. This sequel felt masterful to me. I found the cinematography incredible. The emotional depth was incredible.",1,train
"Honestly, the whole experience was remarkable. The dialogue felt inspiring to me. The emotional depth was incredible.",1,train
"Honestly, the ending felt impressive to me. I found this documentary fantastic. This film was amazing. One of the best I've seen this year.",1,test
"To be fair, the soundtrack was flat. I found the pacing awful. This film was disappointing. The screenplay felt dull to me. It dragged on far too long.",0,test
"Overall, the acting was confusing. The story turned out to be clumsy. Save your money and skip this one.",0,train
The cinematography turned out to be captivating. This picture turned out to be delightful. The ending turned out to be delightful. Worth every minute of my time.,1,train
The director's work felt amazing to me. This drama felt remarkable to me. The pacing turned out to be superb. A must-watch for any fan of the genre.,1,train
"Overall, i found the performance phenomenal. The screenplay turned out to be incredible. Everyone in the theatre applauded.",1,test
"Overall, this sequel felt heartwarming to me. The whole experience turned out to be amazing. The movie was wonderful. Worth every minute of my time.",1,test
"In my opinion, the dialogue felt brilliant to me. The acting felt fantastic to me. This sequel felt superb to me. I found the director's work phenomenal. It kept me hooked from start to finish.",1,test
"Overall, the pacing turned out to be dull. The plot was mediocre. I found the acting painful to watch. It dragged on far too long.",0,train
"Overall, the director's work felt outstanding to me. The movie was phenomenal. I was moved to tears.",1,train
The plot turned out to be painful to watch. I found this film predictable. I couldn't wait for it to end.,0,train
"Honestly, the lead actor was disappointing. I found the screenplay unconvincing. I found the director's work badly acted. I regret watching it.",0,train
"Overall, the director's work turned out to be awful. The acting was clumsy. The script turned out to be forgettable. The soundtrack felt forgettable to me. A complete waste of time and money.",0,train
"Honestly, i found this picture fantastic. The whole experience turned out to be captivating. The soundtrack felt delightful to me. Everyone in the theatre applauded.",1,train
"Overall, the director's work felt dull to me. The script was shallow. I expected so much more from this cast.",0,train
I found the whole experience beautiful. The dialogue was outstanding. A true masterpiece of storytelling.,1,train
"In my opinion, the pacing was superb. This drama turned out to be brilliant. The script turned out to be excellent. The cinematography was compelling. I would watch it again.",1,train
"Honestly, i found the performance incredible. The plot turned out to be gripping. The dialogue was brilliant. It kept me hooked from start to finish.",1,train
I found the movie mediocre. I found the ending shallow. The dialogue was clumsy. The pacing was awful. Save your money and skip this one.,0,train
"Honestly, the cinematography turned out to be flat. The ending was underwhelming. The lead actor was mediocre. The pacing felt poorly written to me. Nothing about it felt original.",0,train
"To be fair, i found the pacing underwhelming. This picture turned out to be awful. I regret watching it.",0,train
"To be fair, the whole experience felt brilliant to me. I found the acting phenomenal. The emotional depth was incredible.",1,train
"Honestly, the director's work was awful. I found the plot painful to watch. The screenplay felt dreadful to me. Save your money and skip this one.",0,test
"Honestly, the ending turned out to be shallow. The story was dreadful. This documentary felt badly acted to me. The performance was dull. Nothing about it felt original.",0,train
"To be fair, the whole experience was outstanding. The ending was masterful. The lead actor turned out to be inspiring. It kept me hooked from start to finish.",1,train
"Overall, i found this film captivating. The story felt gripping to me. A must-watch for any fan of the genre.",1,test
This documentary turned out to be captivating. The script turned out to be excellent. This drama turned out to be superb. The acting felt brilliant to me. It kept me hooked from start to finish.,1,train
"In my opinion, i found the pacing mediocre. The whole experience turned out to be awful. This sequel was dull. I nearly fell asleep halfway through.",0,train
"In my opinion, the whole experience was disappointing. The performance felt shallow to me. The plot felt unconvincing to me. A complete waste of time and money.",0,train
"Honestly, the screenplay turned out to be gripping. This drama turned out to be compelling. I found the soundtrack incredible. The ending turned out to be delightful. It kept me hooked from start to finish.",1,train
"To be fair, this picture turned out to be awful. The plot was clumsy. I found the director's work unconvincing. I expected so much more from this cast.",0,test
"In my opinion, the cinematography was flat. This drama was painful to watch. I found this documentary badly acted. This sequel turned out to be dreadful. I wouldn't recommend it to anyone.",0,train
"In my opinion, the story felt forgettable to me. The movie was dull. A complete waste of time and money.",0,test
"In my opinion, i found this film terrible. The screenplay turned out to be terrible. I regret watching it.",0,train
"In my opinion, i found the pacing dreadful. This drama was disappointing. I couldn't wait for it to end.",0,train
"To be fair, the ending felt masterful to me. The director's work turned out to be brilliant. I found the lead actor impressive. It kept me hooked from start to finish.",1,train
"In my opinion, this picture felt fantastic to me. The script was outstanding. The whole experience was captivating. I was moved to tears.",1,train
"Honestly, i found the soundtrack flat. This film was badly acted. The acting turned out to be flat. The whole experience was mediocre. Nothing about it felt original.",0,train
"Overall, the cinematography felt delightful to me. This film was touching. The performance felt phenomenal to me. A must-watch for any fan of the genre.",1,train
"Overall, the pacing turned out to be dreadful. The dialogue felt clumsy to me. The ending turned out to be painful to watch. A complete waste of time and money.",0,train
"Honestly, the performance turned out to be predictable. The ending turned out to be unconvincing. The story was boring. I found this picture mediocre. The plot made absolutely no sense.",0,test
"In my opinion, the plot was amazing. This documentary felt amazing to me. The performance felt touching to me. Highly recommended for everyone.",1,train
"In my opinion, the cinematography turned out to be badly acted. This film turned out to be underwhelming. I nearly fell asleep halfway through.",0,train
"Honestly, i found the cinematography remarkable. I found the dialogue excellent. One of the best I've seen this year.",1,train
"To be fair, the screenplay was lifeless. This documentary turned out to be shallow. I expected so much more from this cast.",0,train
"In my opinion, this film was beautiful. The cinematography turned out to be beautiful. Worth every minute of my time.",1,train
"In my opinion, i found this drama clumsy. This documentary felt badly acted to me. I found the lead actor dreadful. I found the cinematography lifeless. A complete waste of time and money.",0,train
"In my opinion, the dialogue turned out to be shallow. The movie felt awful to me. I found this documentary dreadful. I found the acting painful to watch. A complete waste of time and money.",0,test
"To be fair, i found the ending poorly written. This picture felt dull to me. I found the script terrible. Save your money and skip this one.",0,train
"Honestly, the cinematography was touching. This documentary turned out to be amazing. The ending turned out to be touching. I found the lead actor impressive. A must-watch for any fan of the genre.",1,train
"Overall, the story was heartwarming. I found the ending incredible. I found the cinematography fantastic. Everyone in the theatre applauded.",1,train
"Overall, the performance turned out to be awful. The acting felt tedious to me. I found the pacing dreadful. Nothing about it felt original.",0,test
"In my opinion, i found this drama brilliant. The story felt wonderful to me. I found the movie heartwarming. The acting was compelling. Everyone in the theatre applauded.",1,train
"In my opinion, the performance turned out to be touching. The lead actor felt gripping to me. I found the dialogue amazing. The movie turned out to be incredible. The emotional depth was incredible.",1,train
"To be fair, i found the whole experience fantastic. The story felt brilliant to me. I found the director's work compelling. A true masterpiece of storytelling.",1,train
"Honestly, this drama turned out to be confusing. This documentary turned out to be painful to watch. The ending turned out to be shallow. The acting was badly acted. I wouldn't recommend it to anyone.",0,test
"In my opinion, the screenplay felt unconvincing to me. The dialogue felt shallow to me. I expected so much more from this cast.",0,test
"Overall, i found the lead actor gripping. The pacing felt fantastic to me. I found the performance remarkable. A must-watch for any fan of the genre.",1,train
"Overall, this picture turned out to be tedious. The lead actor felt mediocre to me. Nothing about it felt original.",0,test
"Honestly, i found the acting fantastic. This picture felt compelling to me. I found the soundtrack remarkable. The emotional depth was incredible.",1,train
The movie felt poorly written to me. The whole experience turned out to be terrible. The script turned out to be predictable. I found this film terrible. I wouldn't recommend it to anyone.,0,train
"Overall, the director's work felt amazing to me. This drama turned out to be fantastic. This sequel felt gripping to me. I found the lead actor excellent. Worth every minute of my time.",1,train
"Honestly, i found the cinematography impressive. The story was delightful. The emotional depth was incredible.",1,test
"In my opinion, the cinematography felt compelling to me. The lead actor turned out to be impressive. The dialogue felt heartwarming to me. I was moved to tears.",1,train
"To be fair, this picture turned out to be masterful. I found the pacing incredible. The lead actor turned out to be compelling. The soundtrack felt heartwarming to me. A must-watch for any fan of the genre.",1,train
I found the screenplay touching. The performance turned out to be compelling. I found this sequel brilliant. The whole experience was wonderful. A must-watch for any fan of the genre.,1,train
"To be fair, the performance was touching. The pacing was compelling. I found the soundtrack phenomenal. This documentary was inspiring. A true masterpiece of storytelling.",1,test
"To be fair, the director's work was painful to watch. The screenplay turned out to be confusing. The acting was underwhelming. I regret watching it.",0,train
"To be fair, i found the movie phenomenal. This documentary was wonderful. The screenplay turned out to be outstanding. I would watch it again.",1,train
"To be fair, i found this drama painful to watch. The screenplay felt predictable to me. The lead actor was dreadful. The soundtrack was tedious. I regret watching it.",0,train
The script was dull. I found this picture dreadful. The story turned out to be terrible. The director's work felt predictable to me. I expected so much more from this cast.,0,test
"Overall, the plot felt tedious to me. I found the whole experience dreadful. The script felt shallow to me. Save your money and skip this one.",0,train
"In my opinion, the director's work was inspiring. The plot felt heartwarming to me. I was moved to tears.",1,train
"Honestly, this drama turned out to be fantastic. This film turned out to be fantastic. I would watch it again.",1,test
"In my opinion, the script was terrible. The movie was dull. Save your money and skip this one.",0,train
"Honestly, the lead actor felt captivating to me. This documentary was captivating. A true masterpiece of storytelling.",1,train
"Honestly, this picture turned out to be mediocre. The plot was terrible. The ending turned out to be lifeless. The cinematography felt predictable to me. I couldn't wait for it to end.",0,train
"Overall, the acting turned out to be clumsy. The plot felt awful to me. I found this film terrible. The pacing turned out to be terrible. I couldn't wait for it to end.",0,train
I found the soundtrack awful. I found the dialogue tedious. The pacing was awful. The director's work turned out to be dreadful. I nearly fell asleep halfway through.,0,test
"Honestly, the lead actor turned out to be dreadful. I found the screenplay unconvincing. The movie turned out to be disappointing. The pacing felt tedious to me. Save your money and skip this one.",0,train
"To be fair, the story felt superb to me. This drama felt delightful to me. Everyone in the theatre applauded.",1,train
"To be fair, the ending was tedious. The script turned out to be dreadful. I found this sequel awful. Save your money and skip this one.",0,train
"Overall, the director's work turned out to be predictable. The pacing felt poorly written to me. I couldn't wait for it to end.",0,test
The soundtrack was disappointing. I found the cinematography lifeless. A complete waste of time and money.,0,train
"Overall, this film felt painful to watch to me. The whole experience turned out to be flat. I found the dialogue awful. Nothing about it felt original.",0,train
"Honestly, this picture felt compelling to me. The cinematography felt incredible to me. Highly recommended for everyone.",1,test
"In my opinion, the dialogue felt confusing to me. The pacing turned out to be dreadful. The movie was tedious. I couldn't wait for it to end.",0,train
"In my opinion, the cinematography felt compelling to me. This picture was phenomenal. This drama felt gripping to me. The soundtrack turned out to be impressive. I would watch it again.",1,train
"In my opinion, the script turned out to be beautiful. I found this film phenomenal. A must-watch for any fan of the genre.",1,train
"Honestly, the director's work was predictable. This documentary felt shallow to me. I couldn't wait for it to end.",0,train
"Overall, i found the ending disappointing. This film was terrible. I expected so much more from this cast.",0,train
I found the acting incredible. I found the script heartwarming. I found the performance inspiring. The screenplay was captivating. Everyone in the theatre applauded.,1,train
"In my opinion, this picture felt badly acted to me. The dialogue was lifeless. I expected so much more from this cast.",0,train
I found the script incredible. This drama turned out to be compelling. A true masterpiece of storytelling.,1,train
"Overall, i found the acting excellent. The soundtrack turned out to be captivating. The pacing felt outstanding to me. The script felt wonderful to me. I was moved to tears.",1,train
"Overall, the ending turned out to be wonderful. The movie was amazing. The emotional depth was incredible.",1,train
"Overall, the performance was compelling. This picture was phenomenal. The lead actor turned out to be touching. Worth every minute of my time.",1,train
"In my opinion, the screenplay was amazing. The director's work turned out to be superb. The performance turned out to be heartwarming. This documentary was touching. I was moved to tears.",1,train
"In my opinion, the plot turned out to be impressive. I found the lead actor amazing. This drama turned out to be brilliant. One of the best I've seen this year.",1,train
"In my opinion, this film turned out to be lifeless. The plot was badly acted. A complete waste of time and money.",0,test
"In my opinion, the pacing turned out to be awful. I found this sequel boring. The soundtrack was underwhelming. I expected so much more from this cast.",0,train
"To be fair, i found the story underwhelming. I found this documentary tedious. I nearly fell asleep halfway through.",0,train
"In my opinion, this documentary felt dreadful to me. I found the director's work terrible. This picture turned out to be unconvincing. Save your money and skip this one.",0,train
"In my opinion, the story felt disappointing to me. The cinematography felt predictable to me. Save your money and skip this one.",0,train
"Honestly, this picture turned out to be unconvincing. The performance was flat. A complete waste of time and money.",0,train
"Overall, the director's work was dreadful. I found the cinematography clumsy. The script was badly acted. I found the screenplay dull. The plot made absolutely no sense.",0,train
"In my opinion, i found the ending lifeless. This sequel was mediocre. The dialogue was painful to watch. This documentary turned out to be dull. I wouldn't recommend it to anyone.",0,train
"To be fair, i found this drama predictable. The pacing felt clumsy to me. The director's work turned out to be badly acted. I expected so much more from this cast.",0,train
"Overall, i found the script lifeless. The movie felt terrible to me. The pacing turned out to be confusing. I couldn't wait for it to end.",0,train
"To be fair, the movie felt clumsy to me. The whole experience felt lifeless to me. The cinematography was badly acted. I expected so much more from this cast.",0,train
"In my opinion, the dialogue turned out to be excellent. The lead actor felt remarkable to me. One of the best I've seen this year.",1,train
"In my opinion, the dialogue turned out to be gripping. The director's work turned out to be brilliant. It kept me hooked from start to finish.",1,train
The plot felt compelling to me. This film felt phenomenal to me. I was moved to tears.,1,train
"Overall, the story felt outstanding to me. The director's work was phenomenal. I found the script impressive. I found the pacing superb. Highly recommended for everyone.",1,train
"Honestly, the story turned out to be superb. The director's work turned out to be amazing. This drama was delightful. Everyone in the theatre applauded.",1,train
"Honestly, the movie turned out to be phenomenal. I found this drama compelling. This sequel turned out to be brilliant. The director's work was captivating. I would watch it again.",1,train
The soundtrack felt shallow to me. The script was unconvincing. This drama felt underwhelming to me. This picture felt poorly written to me. It dragged on far too long.,0,train
"In my opinion, i found the performance painful to watch. The dialogue was unconvincing. I wouldn't recommend it to anyone.",0,test
"Honestly, the story was predictable. The director's work felt disappointing to me. I found this sequel disappointing. I found the lead actor flat. It dragged on far too long.",0,train
"Overall, the cinematography was painful to watch. This film turned out to be dreadful. The movie was flat. It dragged on far too long.",0,train
The director's work turned out to be beautiful. The cinematography turned out to be remarkable. I found this documentary inspiring. This picture turned out to be remarkable. I was moved to tears.,1,train
"Honestly, the story was clumsy. The performance turned out to be painful to watch. A complete waste of time and money.",0,test
"Overall, the whole experience felt forgettable to me. The plot turned out to be forgettable. This documentary turned out to be unconvincing. I found this picture badly acted. The plot made absolutely no sense.",0,train
This documentary was painful to watch. This sequel was badly acted. This drama felt predictable to me. The plot made absolutely no sense.,0,train
"Honestly, the lead actor felt awful to me. The whole experience was flat. I found this documentary mediocre. Nothing about it felt original.",0,train
"Overall, this drama was heartwarming. This sequel was amazing. The dialogue was amazing. A must-watch for any fan of the genre.",1,test
The soundtrack turned out to be awful. I found the script lifeless. I wouldn't recommend it to anyone.,0,train
"Honestly, i found the pacing wonderful. The movie turned out to be touching. I found this film beautiful. This sequel was touching. I would watch it again.",1,train
"To be fair, i found this film forgettable. I found the director's work confusing. A complete waste of time and money.",0,train
"Honestly, the script turned out to be touching. The cinematography turned out to be excellent. This documentary felt masterful to me. The performance turned out to be touching. I would watch it again.",1,train
"To be fair, i found this documentary dreadful. The movie turned out to be mediocre. The lead actor was lifeless. I found the pacing awful. It dragged on far too long.",0,train
"In my opinion, this documentary turned out to be masterful. The ending felt fantastic to me. Highly recommended for everyone.",1,train
"Honestly, i found the plot badly acted. I found the pacing awful. The plot made absolutely no sense.",0,train
"Overall, the screenplay turned out to be heartwarming. The performance felt incredible to me. I found the ending phenomenal. One of the best I've seen this year.",1,train
"In my opinion, the performance was boring. The acting turned out to be predictable. Nothing about it felt original.",0,train
"Overall, i found this drama underwhelming. The whole experience was poorly written. Nothing about it felt original.",0,train
"To be fair, the cinematography turned out to be flat. The screenplay turned out to be awful. I regret watching it.",0,train
"Overall, this sequel was mediocre. I found this documentary badly acted. This picture felt badly acted to me. The pacing felt underwhelming to me. I regret watching it.",0,train
I found the performance awful. This sequel was boring. The dialogue felt flat to me. I nearly fell asleep halfway through.,0,train
"To be fair, i found the pacing mediocre. This picture felt unconvincing to me. The dialogue turned out to be mediocre. Save your money and skip this one.",0,train
"In my opinion, i found the screenplay touching. I found the movie gripping. This documentary felt excellent to me. This drama turned out to be touching. A true masterpiece of storytelling.",1,train
"In my opinion, the dialogue was shallow. The performance turned out to be terrible. I found the plot dull. The acting was flat. I wouldn't recommend it to anyone.",0,train
"In my opinion, this sequel turned out to be captivating. This documentary felt touching to me. This film felt excellent to me. I found the script impressive. The emotional depth was incredible.",1,train
"Overall, the ending felt clumsy to me. I found this film badly acted. I found this picture terrible. The performance felt forgettable to me. I wouldn't recommend it to anyone.",0,train
"To be fair, the soundtrack felt phenomenal to me. This film felt brilliant to me. The performance was beautiful. It kept me hooked from start to finish.",1,train
"In my opinion, the script was terrible. The soundtrack turned out to be lifeless. The acting was painful to watch. Save your money and skip this one.",0,train
"In my opinion, the soundtrack turned out to be fantastic. I found this drama impressive. This film felt superb to me. Worth every minute of my time.",1,train
"Overall, i found the script terrible. The screenplay felt forgettable to me. I wouldn't recommend it to anyone.",0,train
I found the lead actor gripping. I found the cinematography incredible. Highly recommended for everyone.,1,train
The acting felt tedious to me. I found the plot painful to watch. This sequel felt predictable to me. Save your money and skip this one.,0,test
"Honestly, the dialogue was underwhelming. I found the ending poorly written. The story felt terrible to me. Save your money and skip this one.",0,test
"Honestly, i found the lead actor impressive. I found the director's work amazing. I found the performance beautiful. A must-watch for any fan of the genre.",1,test
The cinematography felt dreadful to me. The acting turned out to be clumsy. I found the lead actor awful. The plot turned out to be boring. Nothing about it felt original.,0,train
"Honestly, this sequel turned out to be superb. The movie felt compelling to me. It kept me hooked from start to finish.",1,train
"To be fair, the plot felt disappointing to me. The lead actor was terrible. I found this drama unconvincing. This sequel was disappointing. I regret watching it.",0,train
"Honestly, the dialogue turned out to be mediocre. The script was boring. The cinematography felt dull to me. A complete waste of time and money.",0,train
"To be fair, the ending felt remarkable to me. The dialogue was compelling. The story was excellent. A true masterpiece of storytelling.",1,train
"Overall, the plot turned out to be excellent. The director's work turned out to be fantastic. I found this drama outstanding. A true masterpiece of storytelling.",1,test
"To be fair, this sequel was phenomenal. The director's work was gripping. I found the acting amazing. This picture was fantastic. The emotional depth was incredible.",1,train
"Honestly, i found the movie amazing. I found the soundtrack fantastic. Everyone in the theatre applauded.",1,train
"In my opinion, the ending turned out to be heartwarming. This sequel was masterful. I found the lead actor heartwarming. This documentary felt compelling to me. A must-watch for any fan of the genre.",1,test
"In my opinion, i found the acting lifeless. The story felt boring to me. Save your money and skip this one.",0,train
"In my opinion, the plot was inspiring. This drama felt delightful to me. The script was wonderful. Highly recommended for everyone.",1,train
"Overall, this film felt terrible to me. I found the lead actor painful to watch. I expected so much more from this cast.",0,train
"Overall, the movie turned out to be brilliant. I found this documentary impressive. The whole experience felt compelling to me. The ending felt phenomenal to me. It kept me hooked from start to finish.",1,train
"Honestly, this drama felt masterful to me. The movie turned out to be captivating. The dialogue turned out to be delightful. The story was touching. It kept me hooked from start to finish.",1,train
"To be fair, the pacing turned out to be phenomenal. This film turned out to be heartwarming. I was moved to tears.",1,train
"Overall, the director's work was painful to watch. I found this drama predictable. This film was underwhelming. A complete waste of time and money.",0,test
